Date,t,Price
2-Jan-18,1,66.65
3-Jan-18,2,67.85
4-Jan-18,3,68.73
5-Jan-18,4,68.01
8-Jan-18,5,68.48
9-Jan-18,6,69.08
10-Jan-18,7,69.79
11-Jan-18,8,70.36
12-Jan-18,9,69.64
15-Jan-18,10,70.31
16-Jan-18,11,69.4
17-Jan-18,12,69.19
18-Jan-18,13,69.48
19-Jan-18,14,68.56
22-Jan-18,15,69.32
23-Jan-18,16,69.81
24-Jan-18,17,69.91
25-Jan-18,18,71.08
26-Jan-18,19,70.08
29-Jan-18,20,68.41
30-Jan-18,21,67.78
31-Jan-18,22,67.78
1-Feb-18,23,68.6
2-Feb-18,24,67.45
5-Feb-18,25,67.69
6-Feb-18,26,66.75
7-Feb-18,27,65.74
8-Feb-18,28,64.26
9-Feb-18,29,63.04
12-Feb-18,30,62.2
13-Feb-18,31,61.94
14-Feb-18,32,62.29
15-Feb-18,33,62.86
16-Feb-18,34,64.3
19-Feb-18,35,64.95
20-Feb-18,36,64.68
21-Feb-18,37,64.81
22-Feb-18,38,66.12
23-Feb-18,39,67.04
26-Feb-18,40,67.96
27-Feb-18,41,67.59
28-Feb-18,42,66.08
1-Mar-18,43,64.23
2-Mar-18,44,64.26
5-Mar-18,45,65.78
6-Mar-18,46,65.67
7-Mar-18,47,65.09
8-Mar-18,48,63.87
9-Mar-18,49,65.19
12-Mar-18,50,64.53
13-Mar-18,51,64.2
14-Mar-18,52,63.61
15-Mar-18,53,63.67
16-Mar-18,54,64.68
19-Mar-18,55,64.82
20-Mar-18,56,66
21-Mar-18,57,68.15
22-Mar-18,58,68.98
23-Mar-18,59,69.03
26-Mar-18,60,68.81
27-Mar-18,61,68.63
28-Mar-18,62,68.13
29-Mar-18,63,69.02
3-Apr-18,64,69.02
4-Apr-18,65,66.04
5-Apr-18,66,66.54
6-Apr-18,67,66.51
9-Apr-18,68,68.19
10-Apr-18,69,70.67
11-Apr-18,70,72.74
12-Apr-18,71,71.44
13-Apr-18,72,73.18
16-Apr-18,73,72.05
17-Apr-18,74,71.71
18-Apr-18,75,73.73
19-Apr-18,76,74.85
20-Apr-18,77,74.62
23-Apr-18,78,74.54
24-Apr-18,79,75.86
25-Apr-18,80,73.79
26-Apr-18,81,75.39
27-Apr-18,82,75.33
30-Apr-18,83,75.92
1-May-18,84,74.85
2-May-18,85,73.14
3-May-18,86,73.45
4-May-18,87,74.75
8-May-18,88,74.16
9-May-18,89,77.6
10-May-18,90,77.59
11-May-18,91,77.37
14-May-18,92,78.17
15-May-18,93,78.94
16-May-18,94,78.19
17-May-18,95,80.09
18-May-18,96,78.38
21-May-18,97,78.34
22-May-18,98,80.42
23-May-18,99,78.69
24-May-18,100,78.9
25-May-18,101,76.6
29-May-18,102,74.51
30-May-18,103,75.89
31-May-18,104,76.45
1-Jun-18,105,74.54
4-Jun-18,106,73.41
5-Jun-18,107,72.91
6-Jun-18,108,73.23
7-Jun-18,109,75.23
8-Jun-18,110,75.11
11-Jun-18,111,74.58
12-Jun-18,112,74.86
13-Jun-18,113,75.07
14-Jun-18,114,74.77
15-Jun-18,115,72.02
18-Jun-18,116,74.87
19-Jun-18,117,74.92
20-Jun-18,118,74.25
21-Jun-18,119,72.87
22-Jun-18,120,73.67
25-Jun-18,121,72.82
26-Jun-18,122,73.58
27-Jun-18,123,76.09
28-Jun-18,124,76.26
29-Jun-18,125,77.44
2-Jul-18,126,76.71
3-Jul-18,127,75.87
4-Jul-18,128,76.99
5-Jul-18,129,77.09
6-Jul-18,130,74.98
9-Jul-18,131,77.08
10-Jul-18,132,77.8
11-Jul-18,133,75.35
12-Jul-18,134,72.11
13-Jul-18,135,74.11
16-Jul-18,136,71.03
17-Jul-18,137,70.87
18-Jul-18,138,70.52
19-Jul-18,139,71.94
20-Jul-18,140,71.99
23-Jul-18,141,73.45
24-Jul-18,142,73.53
25-Jul-18,143,73.67
26-Jul-18,144,74.51
27-Jul-18,145,74.84
30-Jul-18,146,74.99
31-Jul-18,147,74.16
1-Aug-18,148,72.28
2-Aug-18,149,72.95
3-Aug-18,150,72.48
6-Aug-18,151,72.51
7-Aug-18,152,72.31
8-Aug-18,153,70.71
9-Aug-18,154,70.55
10-Aug-18,155,71
13-Aug-18,156,70.62
14-Aug-18,157,70.77
15-Aug-18,158,68.38
16-Aug-18,159,69.21
17-Aug-18,160,70.14
20-Aug-18,161,71.11
21-Aug-18,162,71.65
22-Aug-18,163,72.96
23-Aug-18,164,73.73
24-Aug-18,165,74.41
27-Aug-18,166,74.41
28-Aug-18,167,75.91
29-Aug-18,168,76.07
30-Aug-18,169,77.05
31-Aug-18,170,76.94
3-Sep-18,171,77.81
4-Sep-18,172,77.51
5-Sep-18,173,76.68
6-Sep-18,174,75.67
7-Sep-18,175,75.55
10-Sep-18,176,76.77
11-Sep-18,177,78.22
12-Sep-18,178,80.02
13-Sep-18,179,77.66
14-Sep-18,180,77.87
17-Sep-18,181,78.22
18-Sep-18,182,79.25
19-Sep-18,183,79.43
20-Sep-18,184,79.03
21-Sep-18,185,78.9
24-Sep-18,186,80.89
25-Sep-18,187,82.21
26-Sep-18,188,81.87
27-Sep-18,189,81.54
28-Sep-18,190,82.72
1-Oct-18,191,84.94
2-Oct-18,192,85.63
3-Oct-18,193,85.45
4-Oct-18,194,86.07
5-Oct-18,195,85.12
8-Oct-18,196,84.22
9-Oct-18,197,85.16
10-Oct-18,198,83.82
11-Oct-18,199,81.35
12-Oct-18,200,80.71
15-Oct-18,201,80.91
16-Oct-18,202,80.53
17-Oct-18,203,79.91
18-Oct-18,204,80.3
19-Oct-18,205,80.38
22-Oct-18,206,80.45
23-Oct-18,207,78.67
24-Oct-18,208,77.34
25-Oct-18,209,77.3
26-Oct-18,210,77.4
29-Oct-18,211,77.56
30-Oct-18,212,75.68
31-Oct-18,213,74.84
1-Nov-18,214,71.25
2-Nov-18,215,71.11
5-Nov-18,216,72.68
6-Nov-18,217,70.64
7-Nov-18,218,70.1
8-Nov-18,219,69.29
9-Nov-18,220,69.01
12-Nov-18,221,69.81
13-Nov-18,222,65.45
14-Nov-18,223,64.88
15-Nov-18,224,65.61
16-Nov-18,225,65.29
19-Nov-18,226,64.14
20-Nov-18,227,61.5
21-Nov-18,228,61.65
22-Nov-18,229,61.11
23-Nov-18,230,57.69
26-Nov-18,231,59.7
27-Nov-18,232,59.58
28-Nov-18,233,57.97
29-Nov-18,234,58.29
30-Nov-18,235,57.71
3-Dec-18,236,60.17
4-Dec-18,237,61.22
5-Dec-18,238,61.4
6-Dec-18,239,57.83
7-Dec-18,240,61.71
10-Dec-18,241,60.29
11-Dec-18,242,59.73
12-Dec-18,243,59.94
13-Dec-18,244,59.03
14-Dec-18,245,58.56
17-Dec-18,246,57.59
18-Dec-18,247,55.26
19-Dec-18,248,55.6
20-Dec-18,249,52.84
21-Dec-18,250,51.93
27-Dec-18,251,51.49
28-Dec-18,252,50.57
2-Jan-19,253,54.06
3-Jan-19,254,53.23
4-Jan-19,255,55.64
7-Jan-19,256,57.1
8-Jan-19,257,56.91
9-Jan-19,258,59.46
10-Jan-19,259,60.47
11-Jan-19,260,59.24
14-Jan-19,261,58.8
15-Jan-19,262,58.65
16-Jan-19,263,59.81
17-Jan-19,264,59.85
18-Jan-19,265,62.04
21-Jan-19,266,62.18
22-Jan-19,267,60.9
23-Jan-19,268,61.05
24-Jan-19,269,61.09
25-Jan-19,270,61.49
28-Jan-19,271,59.71
29-Jan-19,272,60.98
30-Jan-19,273,61.89
31-Jan-19,274,62.46
1-Feb-19,275,61.86
4-Feb-19,276,62.26
5-Feb-19,277,61.67
6-Feb-19,278,62.22
7-Feb-19,279,61.01
8-Feb-19,280,61.37
11-Feb-19,281,61.3
